"Bill of Material for "
"On 11/7/2011 at 1:04:34 PM"

"Comment","Pattern","Quantity","Components"

"BMA180","BMA180 - ECESHOP","1","Accel",""
"Cap Pol1","TC3528-1411","1","C18","Polarized Capacitor (Radial)"
"Cap Semi","CAPC2012N","6","C16, C17, C19, C20, C21, C22","Capacitor (Semiconductor SIM Model)"
"Header 2","HDR1X2","1","Power","Header, 2-Pin"
"HMC5883L","HMC5883L - ECESHOP","1","MAG",""
"IMU3000","IMU3000 - ECESHOP","1","Gyro",""
"TWI","HDR1X2","1","TWI","Header, 2-Pin"
